128,18941,64
128,19950,64
128,20440,64
128,20667,64
128,22783,64
128,42857,96
128,45947,96
128,25073,64
128,49092,96
128,42314,96
128,56756,64
128,50595,96
128,58803,96
128,80513,112
128,85468,112
128,73572,112
128,84673,112
128,17901,64
128,91595,96
128,96871,112
128,104031,112
128,53419,96
128,130215,112
128,126456,120
128,135591,120
128,135027,120
128,79549,112
128,150174,120
128,21657,64
128,147254,120
128,24821,64
128,157730,120
128,23535,64
128,171127,120
128,18351,64
128,18858,64
128,19615,64
128,47422,96
128,55116,96
128,56292,96
128,43567,96
128,129584,120
128,25612,64
128,44665,96
128,51605,96
128,48776,96
128,20098,64
128,99406,112
128,94396,112
128,86557,112
128,81226,112
128,71106,112
128,88597,112
128,87569,112
128,51743,96
128,145358,120
128,138405,120
128,141024,120
128,123386,120
128,154303,120
128,21000,64
128,22965,64
128,20947,64
128,148929,120
128,20682,64
128,93796,112
128,41375,96
128,49699,96
128,52739,96
128,46010,96
128,23591,64
128,23036,64
128,72948,112
128,146925,120
128,80995,112
128,80401,112
128,95495,112
128,53784,96
128,20638,64
128,115512,120
128,52643,96
128,161825,120
128,138925,120
128,88423,112
128,25053,64
128,18671,64
128,140990,120
128,140183,120
128,40176,96
128,54491,96
128,21015,64
128,26570,64
128,54673,96
128,17438,64
128,93779,112
128,52789,96
128,63139,96
128,92790,112
128,144189,120
128,85946,112
128,108786,112
128,84178,112
128,96674,112
128,20061,64
128,139185,120
128,47746,96
128,18966,64
128,134037,120
128,51191,96
128,78328,112
128,43188,96
128,114659,120
128,155944,120
128,150110,120
128,87679,112
128,74472,112
128,128548,120
128,26396,64
128,157408,120
128,23391,64
128,22757,64
128,22189,64
128,141552,120
128,56180,96
128,134370,120
128,48889,96
128,21619,64
128,24802,64
128,44281,96
128,22942,64
128,103200,112
128,84129,112
128,54173,96
128,19837,64
128,58326,96
128,55272,96
128,69482,112
128,148862,120
128,83114,112
128,52775,96
128,52422,96
128,135603,120
128,93474,112
128,20164,64
128,20443,64
128,90673,112
128,87404,112
128,74714,112
128,118440,120
128,52834,96
128,20389,64
128,46098,96
128,162166,120
128,138899,120
128,128040,120
128,25744,64
128,96557,112
128,65442,96
128,27412,64
128,50190,96
128,20932,64
128,142147,120
128,101310,112
128,42957,96
128,60950,96
128,94602,112
128,101735,112
128,72876,112
128,164497,120
128,144477,120
128,25710,64
128,153374,120
128,140304,120
128,157683,120
128,117832,120
128,18187,64
128,24222,64
128,96160,112
128,21811,64
128,37699,96
128,22745,64
128,52177,96
128,19141,64
128,128563,120
128,46800,96
128,65177,112
128,52971,96
128,20198,64
128,86502,112
128,25043,64
128,48812,96
128,111518,120
128,52943,96
128,128732,120
128,52350,96
128,24770,64
128,22395,64
128,97547,112
128,51911,96
128,86783,112
128,47822,96
128,42374,96
128,88593,112
128,66162,112
128,91532,112
128,116102,120
128,141125,120
128,18136,64
128,20312,64
128,115024,120
128,79943,112
128,17712,64
128,42656,96
128,51997,96
128,104592,112
128,165596,120
128,47185,96
128,79905,112
128,87177,112
128,87721,112
128,21892,64
128,124087,120
128,93144,112
128,172854,120
128,19213,64
128,139338,120
128,159398,120
128,151635,120
128,22549,64
128,17662,64
128,21707,64
128,49661,96
128,46381,96
128,45986,96
128,24375,64
128,48500,96
128,80621,112
128,88760,112
128,82664,112
128,154647,120
128,129999,120
128,137536,120
128,45542,96
128,60808,96
128,22209,64
128,134106,120
128,163682,120
128,22025,64
128,96845,112
128,85579,112
128,23557,64
128,51288,96
128,19742,64
128,76432,112
128,55663,96
128,20475,64
128,48676,96
128,155639,120
128,94829,112
128,153493,120
128,89630,112
128,19045,64
128,22160,64
128,43989,96
128,143943,120
128,43986,96
128,42998,96
128,18531,64
128,144077,120
128,53019,96
128,80490,112
128,86936,112
128,49436,96
128,122843,120
128,94775,112
128,70941,112
128,39219,64
128,83003,112
128,104546,112
128,64695,96
128,117870,120
128,20993,64
128,138750,120
128,155573,120
128,112840,112
128,137481,120
128,130189,120
128,21270,64
128,59922,96
128,13306,64
128,22166,64
128,147836,120
128,53234,96
128,89350,112
128,20220,64
128,42642,96
128,50718,96
128,70790,112
128,92923,112
128,134431,120
128,154159,120
128,92822,112
128,24667,64
128,21637,64
128,66067,64
128,118138,120
128,51789,96
128,18504,64
128,56825,96
128,99012,96
128,158951,120
128,20541,64
128,47974,96
128,92337,112
128,53716,96
128,130683,112
128,139180,120
128,26251,64
128,87684,112
128,48871,96
128,180862,120
128,51054,96
128,156382,120
128,24675,64
128,89135,112
128,83187,112
128,22959,64
128,19246,64
128,149777,120
128,91492,112
128,51414,96
128,91510,112
128,24838,64
128,125371,120
128,124317,120
128,87283,112
128,56224,96
128,37507,64
128,46578,96
128,23507,64
128,90877,112
128,65313,96
128,145563,120
128,60832,96
128,63958,96
128,137187,120
128,137198,120
128,145599,120
128,96128,112
128,78927,112
128,20036,64
128,24827,64
128,104703,112
128,24479,64
128,24364,64
128,139090,120
128,50685,96
128,57413,96
128,57361,96
128,107490,112
128,18546,64
128,124750,120
128,90064,112
128,49948,96
128,95405,112
128,48982,96
128,26460,64
128,75501,112
128,139917,120
128,89108,112
128,60160,96
128,148857,120
128,149779,120
128,117402,120
128,19394,64
128,19404,64
128,17431,64
128,18926,64
128,85869,112
128,112949,112
128,145342,120
128,170111,120
128,46347,96
128,42878,96
128,18860,64
128,49507,96
128,158153,120
128,136820,120
128,55091,96
128,72742,112
128,50579,96
128,75495,112
128,99425,112
128,119459,120
128,83331,112
128,129079,120
128,106541,112
128,146094,120
128,147932,120
128,174741,120
256,97760,128
256,103533,128
256,103904,128
256,108089,128
256,188156,192
256,205930,192
256,85372,128
256,91499,128
256,205461,192
256,217749,192
256,79797,128
256,183892,192
256,101888,128
256,193295,192
256,309169,224
256,337267,224
256,199344,192
256,334494,224
256,193239,192
256,273367,224
256,323461,224
256,460808,240
256,306959,224
256,391781,240
256,317714,224
256,446710,240
256,88155,128
256,444076,240
256,99387,128
256,516574,240
256,95829,128
256,549175,240
256,441802,240
256,97074,128
256,206706,192
256,210955,192
256,79106,128
256,187239,192
256,205204,192
256,336559,224
256,321809,224
256,170090,192
256,78855,128
256,298611,224
256,83519,128
256,344115,224
256,333595,224
256,421887,240
256,198717,192
256,482644,240
256,298428,224
256,439008,240
256,495801,240
256,201097,192
256,297256,224
256,78091,128
256,90820,128
256,91723,128
256,452452,240
256,514481,240
256,177624,192
256,76816,128
256,95149,128
256,355580,224
256,196847,192
256,215383,192
256,105039,128
256,183420,192
256,297800,224
256,453031,240
256,523682,240
256,324352,224
256,202656,192
256,91519,128
256,331573,224
256,198088,192
256,296770,224
